Admin,,,,
Sr.,Courier Name,Country,Zone,Type
185,DHL,"Montenegro, Republic of",11,Export
186,DHL,Madagascar,11,Export
187,DHL,"Macedonia, Republic of",11,Export
188,DHL,Mali,11,Export
189,DHL,Mauritania,11,Export
190,DHL,Mauritius,11,Export
191,DHL,Malawi,11,Export
192,DHL,Mozambique,11,Export
193,DHL,Namibia,11,Export
194,DHL,New Caledonia,11,Export
195,DHL,Niger,11,Export
196,DHL,Nigeria,11,Export
197,DHL,"Nauru, Republic Of",11,Export
198,DHL,Niue,11,Export
199,DHL,Tahiti,11,Export
200,DHL,Palau,11,Export
201,DHL,"Reunion, Island Of",11,Export
202,DHL,"Serbia, Republic of",11,Export
203,DHL,Rwanda,11,Export
204,DHL,Solomon Islands,11,Export
205,DHL,Seychelles,11,Export
206,DHL,Sudan,11,Export
207,DHL,Saint Helena,11,Export
208,DHL,Sierra Leone,11,Export
209,DHL,San Marino,11,Export
210,DHL,Senegal,11,Export
211,DHL,Somalia,11,Export
212,DHL,South Sudan,11,Export
213,DHL,Sao Tome and Principe,11,Export
214,DHL,Swaziland,11,Export
215,DHL,Chad,11,Export
216,DHL,Togo,11,Export
217,DHL,Tajikistan,11,Export
218,DHL,Tunisia,11,Export
219,DHL,Tonga,11,Export
220,DHL,Tuvalu,11,Export
221,DHL,Tanzania,11,Export
222,DHL,Ukraine,11,Export
223,DHL,Uganda,11,Export
224,DHL,Uzbekistan,11,Export
225,DHL,Vanuatu,11,Export
226,DHL,Samoa,11,Export
227,DHL,"Somaliland, Rep of",11,Export
228,DHL,Mayotte,11,Export
229,DHL,Zambia,11,Export
230,DHL,Zimbabwe,11,Export
231,DHL,United States Of America,12,Export
232,DHL,Canada,13,Export
233,DHL,Turkmenistan,11,Export
