Pincode,Area,S/C Code,S/C Description,Region,State Code,State Description,ZONE
110001,DEL,ANT,ANTARIKSH,NORTH,DH,DELHI,5
110002,DEL,IPC,INDRAPRAKASH BLDG,NORTH,DH,DELHI,5
110003,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110004,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110005,DEL,RAJ,RAJENDRA PLACE,NORTH,DH,DELHI,5
110006,DEL,CP,CP BRANCH OFFICE,NORTH,DH,DELHI,5
110007,DEL,CP,CP BRANCH OFFICE,NORTH,DH,DELHI,5
110008,DEL,RAJ,RAJENDRA PLACE,NORTH,DH,DELHI,5
110009,DEL,WZR,WAZIRPUR,NORTH,DH,DELHI,5
110010,DEL,DCT,DELHI CANTONMENT,NORTH,DH,DELHI,5
110011,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110012,DEL,RAJ,RAJENDRA PLACE,NORTH,DH,DELHI,5
110013,DEL,OKH,OKHLA,NORTH,DH,DELHI,5
110014,DEL,OKH,OKHLA,NORTH,DH,DELHI,5
110015,DEL,RMR,RAMA ROAD,NORTH,DH,DELHI,5
110016,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110017,DEL,SET,SAKET,NORTH,DH,DELHI,5
110018,DEL,PSV,PASCHIM VIHAR,NORTH,DH,DELHI,5
110019,DEL,NP,NEHRU PLACE,NORTH,DH,DELHI,5
110020,DEL,OKH,OKHLA,NORTH,DH,DELHI,5
110021,DEL,DCT,DELHI CANTONMENT,NORTH,DH,DELHI,5
110022,DEL,DCT,DELHI CANTONMENT,NORTH,DH,DELHI,5
110023,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110024,DEL,NP,NEHRU PLACE,NORTH,DH,DELHI,5
110025,DEL,MOC,MOHAN CO OP INDL AREA,NORTH,DH,DELHI,5
110026,DEL,RMR,RAMA ROAD,NORTH,DH,DELHI,5
110027,DEL,RMR,RAMA ROAD,NORTH,DH,DELHI,5
110028,DEL,RAJ,RAJENDRA PLACE,NORTH,DH,DELHI,5
110029,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110030,DEL,VVH,VASANT VIHAR,NORTH,DH,DELHI,5
110031,DEL,KRR,KRISHNA NAGAR SERVICE CEN,NORTH,DH,DELHI,5
110032,DEL,JIA,JHILMIL INDUSTRIAL AREA,NORTH,DH,DELHI,5
110033,DEL,WZR,WAZIRPUR,NORTH,DH,DELHI,5
110034,DEL,PIT,PITAMPURA,NORTH,DH,DELHI,5
110035,DEL,RMR,RAMA ROAD,NORTH,DH,DELHI,5
110036,DEL,ROI,ROHINI SERVICE CENTRE,NORTH,DH,DELHI,5
110037,DEL,KSP,KAPASHERA,NORTH,DH,DELHI,5
110038,DEL,KSP,KAPASHERA,NORTH,DH,DELHI,5
110039,DEL,ROI,ROHINI SERVICE CENTRE,NORTH,DH,DELHI,5
110040,DEL,ROI,ROHINI SERVICE CENTRE,NORTH,DH,DELHI,5
110041,DEL,HKN,HIRANKUDNA,NORTH,DH,DELHI,5
110042,DEL,ROI,ROHINI SERVICE CENTRE,NORTH,DH,DELHI,5
110043,DEL,JNK,JANAKPURI,NORTH,DH,DELHI,5
110044,DEL,MOC,MOHAN CO OP INDL AREA,NORTH,DH,DELHI,5
110045,DEL,DLM,PALAM SERVICE CENTRE,NORTH,DH,DELHI,5
110046,DEL,JNK,JANAKPURI,NORTH,DH,DELHI,5
110047,DEL,VVH,VASANT VIHAR,NORTH,DH,DELHI,5
110048,DEL,NP,NEHRU PLACE,NORTH,DH,DELHI,5
110049,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110050,DEL,PSV,PASCHIM VIHAR,NORTH,DH,DELHI,5
110051,DEL,KRR,KRISHNA NAGAR SERVICE CEN,NORTH,DH,DELHI,5
110052,DEL,WZR,WAZIRPUR,NORTH,DH,DELHI,5
110053,DEL,JIA,JHILMIL INDUSTRIAL AREA,NORTH,DH,DELHI,5
110054,DEL,CP,CP BRANCH OFFICE,NORTH,DH,DELHI,5
110055,DEL,CP,CP BRANCH OFFICE,NORTH,DH,DELHI,5
110056,DEL,PSV,PASCHIM VIHAR,NORTH,DH,DELHI,5
110057,DEL,DCT,DELHI CANTONMENT,NORTH,DH,DELHI,5
110058,DEL,JNK,JANAKPURI,NORTH,DH,DELHI,5
110059,DEL,JNK,JANAKPURI,NORTH,DH,DELHI,5
110060,DEL,RAJ,RAJENDRA PLACE,NORTH,DH,DELHI,5
110061,DEL,KSP,KAPASHERA,NORTH,DH,DELHI,5
110062,DEL,SET,SAKET,NORTH,DH,DELHI,5
110063,DEL,PSV,PASCHIM VIHAR,NORTH,DH,DELHI,5
110064,DEL,RMR,RAMA ROAD,NORTH,DH,DELHI,5
110065,DEL,OKH,OKHLA,NORTH,DH,DELHI,5
110066,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110067,DEL,SET,SAKET,NORTH,DH,DELHI,5
110068,DEL,SET,SAKET,NORTH,DH,DELHI,5
110069,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110070,DEL,VVH,VASANT VIHAR,NORTH,DH,DELHI,5
110071,DEL,NFG,NAZAFGARH,NORTH,DH,DELHI,5
110072,DEL,NFG,NAZAFGARH,NORTH,DH,DELHI,5
110073,DEL,NFG,NAZAFGARH,NORTH,DH,DELHI,5
110074,DEL,VVH,VASANT VIHAR,NORTH,DH,DELHI,5
110075,DEL,DWK,DWARIKA SERVICE CENTRE,NORTH,DH,DELHI,5
110076,DEL,MOC,MOHAN CO OP INDL AREA,NORTH,DH,DELHI,5
110077,DEL,DWK,DWARIKA SERVICE CENTRE,NORTH,DH,DELHI,5
110078,DEL,DWK,DWARIKA SERVICE CENTRE,NORTH,DH,DELHI,5
110080,DEL,SET,SAKET,NORTH,DH,DELHI,5
110081,DEL,HKN,HIRANKUDNA,NORTH,DH,DELHI,5
110082,DEL,ROI,ROHINI SERVICE CENTRE,NORTH,DH,DELHI,5
110083,DEL,PIT,PITAMPURA,NORTH,DH,DELHI,5
110084,DEL,WZR,WAZIRPUR,NORTH,DH,DELHI,5
110085,DEL,ROI,ROHINI SERVICE CENTRE,NORTH,DH,DELHI,5
110086,DEL,HKN,HIRANKUDNA,NORTH,DH,DELHI,5
110087,DEL,PSV,PASCHIM VIHAR,NORTH,DH,DELHI,5
110088,DEL,WZR,WAZIRPUR,NORTH,DH,DELHI,5
110089,DEL,ROI,ROHINI SERVICE CENTRE,NORTH,DH,DELHI,5
110090,DEL,JIA,JHILMIL INDUSTRIAL AREA,NORTH,DH,DELHI,5
110091,DEL,MVH,MAYUR VIHAR,NORTH,DH,DELHI,5
110092,DEL,EDL,EAST DELHI,NORTH,DH,DELHI,5
110093,DEL,JIA,JHILMIL INDUSTRIAL AREA,NORTH,DH,DELHI,5
110094,DEL,JIA,JHILMIL INDUSTRIAL AREA,NORTH,DH,DELHI,5
110095,DEL,JIA,JHILMIL INDUSTRIAL AREA,NORTH,DH,DELHI,5
110096,DEL,MVH,MAYUR VIHAR,NORTH,DH,DELHI,5
110097,DEL,KSP,KAPASHERA,NORTH,DH,DELHI,5
110098,DEL,MVH,MAYUR VIHAR,NORTH,DH,DELHI,5
110100,DEL,ANT,ANTARIKSH,NORTH,DH,DELHI,5
110101,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110103,DEL,IPC,INDRAPRAKASH BLDG,NORTH,DH,DELHI,5
110104,DEL,IPC,INDRAPRAKASH BLDG,NORTH,DH,DELHI,5
110105,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110106,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110107,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110108,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110109,DEL,IPC,INDRAPRAKASH BLDG,NORTH,DH,DELHI,5
110110,DEL,IPC,INDRAPRAKASH BLDG,NORTH,DH,DELHI,5
110112,DEL,IPC,INDRAPRAKASH BLDG,NORTH,DH,DELHI,5
110113,DEL,IPC,INDRAPRAKASH BLDG,NORTH,DH,DELHI,5
110114,DEL,ANT,ANTARIKSH,NORTH,DH,DELHI,5
110115,DEL,ANT,ANTARIKSH,NORTH,DH,DELHI,5
110116,DEL,ANT,ANTARIKSH,NORTH,DH,DELHI,5
110117,DEL,ANT,ANTARIKSH,NORTH,DH,DELHI,5
110118,DEL,ANT,ANTARIKSH,NORTH,DH,DELHI,5
110119,DEL,ANT,ANTARIKSH,NORTH,DH,DELHI,5
110120,DEL,ANT,ANTARIKSH,NORTH,DH,DELHI,5
110122,DEL,ANT,ANTARIKSH,NORTH,DH,DELHI,5
110124,DEL,IPC,INDRAPRAKASH BLDG,NORTH,DH,DELHI,5
110125,DEL,RAJ,RAJENDRA PLACE,NORTH,DH,DELHI,5
110301,DEL,EDL,EAST DELHI,NORTH,DH,DELHI,5
110302,DEL,EDL,EAST DELHI,NORTH,DH,DELHI,5
110501,DEL,OKH,OKHLA,NORTH,DH,DELHI,5
110502,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110503,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110504,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110505,DEL,NP,NEHRU PLACE,NORTH,DH,DELHI,5
110510,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110511,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110512,DEL,ABC,ANTARIKSH BHAVAN,NORTH,DH,DELHI,5
110601,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110602,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110603,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110604,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110605,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110606,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110607,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110608,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
110609,DEL,SJE,SAFDARJUNG ENCLAVE,NORTH,DH,DELHI,5
114145,VJY,VJY,VIJAYPUR,NORTH,JK,JAMMU AND KASHMIR,7
121000,FAR,FAO,FAR SERVICE CENTRE,NORTH,HN,HARYANA,5
121001,FAR,FJT,FARIDABAD NIT,NORTH,HN,HARYANA,5
121002,FAR,FNP,FARIDABAD NEHAR PAR,NORTH,HN,HARYANA,5
121003,FAR,FAC,FARIDABAD SERVICE CENTRE,NORTH,HN,HARYANA,5
121004,FAR,FAO,FAR SERVICE CENTRE,NORTH,HN,HARYANA,5
121005,FAR,FAO,FAR SERVICE CENTRE,NORTH,HN,HARYANA,5
121006,FAR,FNP,FARIDABAD NEHAR PAR,NORTH,HN,HARYANA,5
121007,FAR,FAO,FAR SERVICE CENTRE,NORTH,HN,HARYANA,5
121008,FAR,FAC,FARIDABAD SERVICE CENTRE,NORTH,HN,HARYANA,5
121009,FAR,FAC,FARIDABAD SERVICE CENTRE,NORTH,HN,HARYANA,5
121010,FAR,FAC,FARIDABAD SERVICE CENTRE,NORTH,HN,HARYANA,5
121012,FAR,FAO,FAR SERVICE CENTRE,NORTH,HN,HARYANA,5
121013,FAR,FAC,FARIDABAD SERVICE CENTRE,NORTH,HN,HARYANA,5
121014,FAR,FAO,FAR SERVICE CENTRE,NORTH,HN,HARYANA,5
121015,FAE,FAE,FARIDABAD EXPANSION,NORTH,HN,HARYANA,5
121101,FAR,FAO,FAR SERVICE CENTRE,NORTH,HN,HARYANA,5
121102,PWL,PWL,PALWAL,NORTH,HN,HARYANA,5
121103,PWL,PWL,PALWAL,NORTH,HN,HARYANA,5
121105,HDL,HDL,HODAL,NORTH,HN,HARYANA,5
121106,HDL,HDL,HODAL,NORTH,HN,HARYANA,5
121107,HDE,HDE,HODAL REACH,NORTH,HN,HARYANA,5
121206,FAR,FAO,FAR SERVICE CENTRE,NORTH,HN,HARYANA,5
122001,GGN,CTY,GURUGRAM,NORTH,HN,HARYANA,5
122002,GGN,DCC,DLF CYBER CITY,NORTH,HN,HARYANA,5
122003,GGN,DLF,GURUGRAM,NORTH,HN,HARYANA,5
122004,GGN,GGM,MANESAR PINCODES,NORTH,HN,HARYANA,5
122005,GGN,CTY,GURUGRAM,NORTH,HN,HARYANA,5
122006,GGN,CTY,GURUGRAM,NORTH,HN,HARYANA,5
122007,GGN,CTY,GURUGRAM,NORTH,HN,HARYANA,5
122008,GGN,DCC,DLF CYBER CITY,NORTH,HN,HARYANA,5
122009,GGN,DLF,GURUGRAM,NORTH,HN,HARYANA,5
122010,GGN,DCC,DLF CYBER CITY,NORTH,HN,HARYANA,5
122011,GGN,DLF,GURUGRAM,NORTH,HN,HARYANA,5
122012,GGN,GGM,MANESAR PINCODES,NORTH,HN,HARYANA,5
122015,GGN,UDV,UDYOGVIHAR,NORTH,HN,HARYANA,5
122016,GGN,UDV,UDYOGVIHAR,NORTH,HN,HARYANA,5
122017,GGN,UDV,UDYOGVIHAR,NORTH,HN,HARYANA,5
122018,GGN,GSR,SOHANA ROAD S/C,NORTH,HN,HARYANA,5
122019,GGN,GSR,SOHANA ROAD S/C,NORTH,HN,HARYANA,5
122050,GGN,GGM,MANESAR PINCODES,NORTH,HN,HARYANA,5
122051,GGN,GGM,MANESAR PINCODES,NORTH,HN,HARYANA,5
122052,GGN,GGM,MANESAR PINCODES,NORTH,HN,HARYANA,5
122098,GGN,DLF,GURUGRAM,NORTH,HN,HARYANA,5
122100,KKH,KKH,KUSHKHERA,NORTH,RJ,RAJASTHAN,5
122101,SOZ,SOZ,SOHNA,NORTH,HN,HARYANA,5
122102,SOZ,SOZ,SOHNA,NORTH,HN,HARYANA,5
122103,SOZ,SOZ,SOHNA,NORTH,HN,HARYANA,5
122104,GBY,GBY,GGN PATAUDI REACH,NORTH,HN,HARYANA,5
122105,GGN,GBP,GURUGRAM PATAUDI,NORTH,HN,HARYANA,5
122106,DRH,DRH,DARUHERA,NORTH,HN,HARYANA,5
122107,SOZ,SOZ,SOHNA,NORTH,HN,HARYANA,5
122413,GGN,GBP,GURUGRAM PATAUDI,NORTH,HN,HARYANA,5
122414,KKH,KKH,KUSHKHERA,NORTH,RJ,RAJASTHAN,5
122502,KKH,KKH,KUSHKHERA,NORTH,RJ,RAJASTHAN,5
122503,GGN,GBP,GURUGRAM PATAUDI,NORTH,HN,HARYANA,5
122504,GBY,GBY,GGN PATAUDI REACH,NORTH,HN,HARYANA,5
122505,GGN,GGM,MANESAR PINCODES,NORTH,HN,HARYANA,5
122506,GGN,GBP,GURUGRAM PATAUDI,NORTH,HN,HARYANA,5
123001,MHG,MHG,MAHENDRAGARH,NORTH,HN,HARYANA,5
123003,GGN,DCC,DLF CYBER CITY,NORTH,HN,HARYANA,5
123021,MHG,MHG,MAHENDRAGARH,NORTH,HN,HARYANA,5
123023,KOU,KOU,KOTPUTALI,NORTH,RJ,RAJASTHAN,5
123024,LOH,LOH,LOHARU,NORTH,HN,HARYANA,5
123027,MHG,MHG,MAHENDRAGARH,NORTH,HN,HARYANA,5
123028,MHG,MHG,MAHENDRAGARH,NORTH,HN,HARYANA,5
123029,MHG,MHG,MAHENDRAGARH,NORTH,HN,HARYANA,5
123034,MHG,MHG,MAHENDRAGARH,NORTH,HN,HARYANA,5
123035,KKH,KKH,KUSHKHERA,NORTH,RJ,RAJASTHAN,5
123101,NMR,NMN,NEEMRANA,NORTH,RJ,RAJASTHAN,5
123102,NMR,NMN,NEEMRANA,NORTH,RJ,RAJASTHAN,5
123103,NMR,NMN,NEEMRANA,NORTH,RJ,RAJASTHAN,5
123106,DRH,DRH,DARUHERA,NORTH,HN,HARYANA,5
123110,DRH,DRH,DARUHERA,NORTH,HN,HARYANA,5
123301,JHR,JHR,JHAJJAR,NORTH,HN,HARYANA,5
123303,MHG,MHG,MAHENDRAGARH,NORTH,HN,HARYANA,5
123401,RWT,RWT,REWARI,NORTH,HN,HARYANA,5
123411,MHG,MHG,MAHENDRAGARH,NORTH,HN,HARYANA,5
123412,NMR,NMN,NEEMRANA,NORTH,RJ,RAJASTHAN,5
123413,RWI,RWI,REWARI REACH,NORTH,HN,HARYANA,5
123414,GGN,DCC,DLF CYBER CITY,NORTH,HN,HARYANA,5
123501,NMR,NMN,NEEMRANA,NORTH,RJ,RAJASTHAN,5
123504,GGN,GBP,GURUGRAM PATAUDI,NORTH,HN,HARYANA,5
123505,GGN,GBP,GURUGRAM PATAUDI,NORTH,HN,HARYANA,5
123506,GGN,GBP,GURUGRAM PATAUDI,NORTH,HN,HARYANA,5
124001,RTK,RTK,ROHTAK,NORTH,HN,HARYANA,5
124010,ROK,ROK,ROHTAK,NORTH,HN,HARYANA,5
124021,ROK,ROK,ROHTAK,NORTH,HN,HARYANA,5
124102,JHR,JHR,JHAJJAR,NORTH,HN,HARYANA,5
124103,JHR,JHR,JHAJJAR,NORTH,HN,HARYANA,5
124104,JHR,JHR,JHAJJAR,NORTH,HN,HARYANA,5
124105,JHR,JHR,JHAJJAR,NORTH,HN,HARYANA,5
124106,JHR,JHR,JHAJJAR,NORTH,HN,HARYANA,5
124107,JHR,JHR,JHAJJAR,NORTH,HN,HARYANA,5
124108,JHR,JHR,JHAJJAR,NORTH,HN,HARYANA,5
124109,JHR,JHR,JHAJJAR,NORTH,HN,HARYANA,5
124111,MEM,MEM,MEHAM,NORTH,HN,HARYANA,5
124112,MEM,MEM,MEHAM,NORTH,HN,HARYANA,5
124146,JHR,JHR,JHAJJAR,NORTH,HN,HARYANA,5
124201,JHR,JHR,JHAJJAR,NORTH,HN,HARYANA,5
124303,ROK,ROK,ROHTAK,NORTH,HN,HARYANA,5
124401,ROK,ROK,ROHTAK,NORTH,HN,HARYANA,5
124412,ROK,ROK,ROHTAK,NORTH,HN,HARYANA,5
124501,SPL,SPL,SAMPLA,NORTH,HN,HARYANA,5
124505,SPL,SPL,SAMPLA,NORTH,HN,HARYANA,5
124506,BHH,BHH,BAHADURGARH,NORTH,HN,HARYANA,5
124507,BHH,BHH,BAHADURGARH,NORTH,HN,HARYANA,5
124508,BHH,BHH,BAHADURGARH,NORTH,HN,HARYANA,5
124512,BHH,BHH,BAHADURGARH,NORTH,HN,HARYANA,5
124514,ROK,ROK,ROHTAK,NORTH,HN,HARYANA,5
124517,SPL,SPL,SAMPLA,NORTH,HN,HARYANA,5
125001,HIS,HIR,HISSAR,NORTH,HN,HARYANA,5
125002,HIS,HIR,HISSAR,NORTH,HN,HARYANA,5
125003,HIS,HIR,HISSAR,NORTH,HN,HARYANA,5
125004,HIS,HIR,HISSAR,NORTH,HN,HARYANA,5
125005,HIS,HIR,HISSAR,NORTH,HN,HARYANA,5
125006,HIS,HIR,HISSAR,NORTH,HN,HARYANA,5
125007,HIS,HIR,HISSAR,NORTH,HN,HARYANA,5
125011,HIS,HIR,HISSAR,NORTH,HN,HARYANA,5
125033,HNS,HNS,HANSI,NORTH,HN,HARYANA,5
125034,HNS,HNS,HANSI,NORTH,HN,HARYANA,5
125039,JND,JND,JIND,NORTH,HN,HARYANA,5
125042,MEM,MEM,MEHAM,NORTH,HN,HARYANA,5
125044,HIS,HIR,HISSAR,NORTH,HN,HARYANA,5
125047,BAR,BAR,BARWALA,NORTH,HN,HARYANA,5
125048,FHB,FHB,FATEHABAD,NORTH,HN,HARYANA,5
125049,HNS,HNS,HANSI,NORTH,HN,HARYANA,5
125050,FHB,FHB,FATEHABAD,NORTH,HN,HARYANA,5
125051,RAT,RAT,RATIA,NORTH,HN,HARYANA,5
125052,ADM,ADM,MANDI ADAMPUR,NORTH,HN,HARYANA,5
125055,SIA,SIA,SIRSA,NORTH,HN,HARYANA,5
125058,SSA,SSA,SIRSA EXPANSION,NORTH,HN,HARYANA,5
125060,SSA,SSA,SIRSA EXPANSION,NORTH,HN,HARYANA,5
125075,ELB,ELB,ELLENABAD,NORTH,HN,HARYANA,5
125076,ELB,ELB,ELLENABAD,NORTH,HN,HARYANA,5
125077,MWL,MWL,MANDI DABWALI,NORTH,HN,HARYANA,5
125101,MWL,MWL,MANDI DABWALI,NORTH,HN,HARYANA,5
125102,ELB,ELB,ELLENABAD,NORTH,HN,HARYANA,5
125103,MWL,MWL,MANDI DABWALI,NORTH,HN,HARYANA,5
125104,MWL,MWL,MANDI DABWALI,NORTH,HN,HARYANA,5
125111,BAR,BAR,BARWALA,NORTH,HN,HARYANA,5
125112,BAR,BAR,BARWALA,NORTH,HN,HARYANA,5
125113,BAR,BAR,BARWALA,NORTH,HN,HARYANA,5
125120,TOH,TOH,TOHANA,NORTH,HN,HARYANA,5
125121,BAR,BAR,BARWALA,NORTH,HN,HARYANA,5
125122,BAR,BAR,BARWALA,NORTH,HN,HARYANA,5
125133,JMM,JMM,JAKHAL MANDI,NORTH,HN,HARYANA,5
125201,TWS,TWS,TALWANDI SABOO,NORTH,PJ,PUNJAB,5
126001,TOH,TOH,TOHANA,NORTH,HN,HARYANA,5
126101,JND,JND,JIND,NORTH,HN,HARYANA,5
126102,JND,JND,JIND,NORTH,HN,HARYANA,5
126110,JND,JND,JIND,NORTH,HN,HARYANA,5
126111,JND,JND,JIND,NORTH,HN,HARYANA,5
126112,ASD,ASD,ASSAND,NORTH,HN,HARYANA,5
126113,JND,JND,JIND,NORTH,HN,HARYANA,5
126114,JND,JND,JIND,NORTH,HN,HARYANA,5
126116,NAR,NAR,NARWANA,NORTH,HN,HARYANA,5
126125,JND,JND,JIND,NORTH,HN,HARYANA,5
127020,BHW,BHW,BHIWANI,NORTH,HN,HARYANA,5
127021,BHW,BHW,BHIWANI,NORTH,HN,HARYANA,5
127022,CRK,CRK,CHARKHI DADRI,NORTH,HN,HARYANA,5
127025,CRK,CRK,CHARKHI DADRI,NORTH,HN,HARYANA,5
127026,CRK,CRK,CHARKHI DADRI,NORTH,HN,HARYANA,5
127027,BWY,BWY,BHIWANI,NORTH,HN,HARYANA,5
127031,BWY,BWY,BHIWANI,NORTH,HN,HARYANA,5
127032,TSM,TSM,TOSHAM,NORTH,HN,HARYANA,5
127040,TSM,TSM,TOSHAM,NORTH,HN,HARYANA,5
127041,MEM,MEM,MEHAM,NORTH,HN,HARYANA,5
127043,TSM,TSM,TOSHAM,NORTH,HN,HARYANA,5
127045,SWI,SWI,SIWANI,NORTH,HN,HARYANA,5
127046,SWI,SWI,SIWANI,NORTH,HN,HARYANA,5
127111,BWY,BWY,BHIWANI,NORTH,HN,HARYANA,5
127201,LOH,LOH,LOHARU,NORTH,HN,HARYANA,5
127306,CRK,CRK,CHARKHI DADRI,NORTH,HN,HARYANA,5
127308,LOH,LOH,LOHARU,NORTH,HN,HARYANA,5
127309,BWY,BWY,BHIWANI,NORTH,HN,HARYANA,5
127310,CRK,CRK,CHARKHI DADRI,NORTH,HN,HARYANA,5
131001,SOP,SOP,SONEPAT,NORTH,HN,HARYANA,5
131021,SOP,SOP,SONEPAT,NORTH,HN,HARYANA,5
131027,SOP,SOP,SONEPAT,NORTH,HN,HARYANA,5
131028,KDL,KDL,KUNDLI,NORTH,HN,HARYANA,5
131029,SOE,SOE,SONEPAT EXTENSION,NORTH,HN,HARYANA,5
131030,KDL,KDL,KUNDLI,NORTH,HN,HARYANA,5
131039,GAR,GAR,GANAUR,NORTH,HN,HARYANA,5
131101,GAR,GAR,GANAUR,NORTH,HN,HARYANA,5
131102,GAR,GAR,GANAUR,NORTH,HN,HARYANA,5
131301,GOH,GOH,GOHANA,NORTH,HN,HARYANA,5
131305,GOH,GOH,GOHANA,NORTH,HN,HARYANA,5
132001,KRN,KNX,KARNAL,NORTH,HN,HARYANA,5
132022,KRN,KNX,KARNAL,NORTH,HN,HARYANA,5
132037,KRN,KNX,KARNAL,NORTH,HN,HARYANA,5
132039,ASD,ASD,ASSAND,NORTH,HN,HARYANA,5
132046,ASE,ASE,ASSANDH EXTENSION,NORTH,HN,HARYANA,5
132054,KRN,KNX,KARNAL,NORTH,HN,HARYANA,5
132101,SMH,SMH,SAMALKHA,NORTH,HN,HARYANA,5
132102,SMH,SMH,SAMALKHA,NORTH,HN,HARYANA,5
132103,PNP,PAO,PANIPAT,NORTH,HN,HARYANA,5
132104,PNP,PAO,PANIPAT,NORTH,HN,HARYANA,5
132105,PNP,PAO,PANIPAT,NORTH,HN,HARYANA,5
132106,PNP,PAO,PANIPAT,NORTH,HN,HARYANA,5
132107,GOH,GOH,GOHANA,NORTH,HN,HARYANA,5
132108,PNP,PAO,PANIPAT,NORTH,HN,HARYANA,5
132110,PNP,PAO,PANIPAT,NORTH,HN,HARYANA,5
132113,ASD,ASD,ASSAND,NORTH,HN,HARYANA,5
132114,KRN,KNX,KARNAL,NORTH,HN,HARYANA,5
132115,SMH,SMH,SAMALKHA,NORTH,HN,HARYANA,5
132116,KRA,KRA,KURUKSHETRA,NORTH,HN,HARYANA,5
132117,KRA,KRA,KURUKSHETRA,NORTH,HN,HARYANA,5
132122,SMH,SMH,SAMALKHA,NORTH,HN,HARYANA,5
132140,PNO,PNO,PANIPAT IOCL OFFICE,NORTH,HN,HARYANA,5
132145,PNP,PAO,PANIPAT,NORTH,HN,HARYANA,5
132151,PNP,PAO,PANIPAT,NORTH,HN,HARYANA,5
132157,KRA,KRA,KURUKSHETRA,NORTH,HN,HARYANA,5
133001,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
133003,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
133004,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
133005,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
133006,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
133007,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
133008,AME,AME,AMBALA REACH,NORTH,HN,HARYANA,5
133010,AME,AME,AMBALA REACH,NORTH,HN,HARYANA,5
133021,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
133101,MLN,MLN,MULLANA,NORTH,HN,HARYANA,5
133102,MLN,MLN,MULLANA,NORTH,HN,HARYANA,5
133103,JDR,JDR,JAGADHRI REACH,NORTH,HN,HARYANA,5
133104,MLN,MLN,MULLANA,NORTH,HN,HARYANA,5
133201,MLN,MLN,MULLANA,NORTH,HN,HARYANA,5
133202,MLN,MLN,MULLANA,NORTH,HN,HARYANA,5
133203,MLN,MLN,MULLANA,NORTH,HN,HARYANA,5
133204,NGH,NGH,NARAINGARH,NORTH,HN,HARYANA,5
133205,MLN,MLN,MULLANA,NORTH,HN,HARYANA,5
133206,JDR,JDR,JAGADHRI REACH,NORTH,HN,HARYANA,5
133207,MLN,MLN,MULLANA,NORTH,HN,HARYANA,5
133301,PKL,PKL,PANCHKULA,NORTH,HN,HARYANA,5
133302,DPR,DPR,PARWANOO,NORTH,HP,HIMACHAL PRADESH,5
134001,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
134002,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
134003,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
134004,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
134005,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
134006,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
134007,ABA,AMY,AMBALA,NORTH,HN,HARYANA,5
134008,AME,AME,AMBALA REACH,NORTH,HN,HARYANA,5
